Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 16860, 'Left_wheel_dist': -3278, 'Right_wheel_dist': -2027, 'IMU_roll': -0.18, 'IMU_pitch': 0.13, 'IMU_yaw': 4.24, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': -1.63, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 16955, 'Left_wheel_dist': -3367, 'Right_wheel_dist': -2036, 'IMU_roll': -0.11, 'IMU_pitch': 0.13, 'IMU_yaw': 4.11, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': -0.90, 'IMU_Acc_z': 10.17, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 17060, 'Left_wheel_dist': -3464, 'Right_wheel_dist': -2043, 'IMU_roll': -0.11, 'IMU_pitch': 0.13, 'IMU_yaw': 3.96, 'IMU_Acc_x': 1.62, 'IMU_Acc_y': -1.00, 'IMU_Acc_z': 10.22, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17157, 'Left_wheel_dist': -3555, 'Right_wheel_dist': -2050, 'IMU_roll': -0.11, 'IMU_pitch': 0.15, 'IMU_yaw': 3.83, 'IMU_Acc_x': 1.78, 'IMU_Acc_y': -0.72, 'IMU_Acc_z': 10.47, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 17260, 'Left_wheel_dist': -3646, 'Right_wheel_dist': -2054, 'IMU_roll': -0.12, 'IMU_pitch': 0.14, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.84, 'IMU_Acc_y': -0.85, 'IMU_Acc_z': 9.66, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17356, 'Left_wheel_dist': -3734, 'Right_wheel_dist': -2058, 'IMU_roll': -0.10, 'IMU_pitch': 0.13, 'IMU_yaw': 3.50, 'IMU_Acc_x': 1.57, 'IMU_Acc_y': -0.87, 'IMU_Acc_z': 10.35, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 17461, 'Left_wheel_dist': -3836, 'Right_wheel_dist': -2061, 'IMU_roll': -0.12, 'IMU_pitch': 0.14, 'IMU_yaw': 3.39, 'IMU_Acc_x': 1.25, 'IMU_Acc_y': -1.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 17557, 'Left_wheel_dist': -3927, 'Right_wheel_dist': -2063, 'IMU_roll': -0.07, 'IMU_pitch': 0.15, 'IMU_yaw': 3.28, 'IMU_Acc_x': 1.80, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 10.28, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 17657, 'Left_wheel_dist': -4002, 'Right_wheel_dist': -2087, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 3.19, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': 2.43, 'IMU_Acc_z': 10.08, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 17759, 'Left_wheel_dist': -4075, 'Right_wheel_dist': -2127, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 3.24, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 1.44, 'IMU_Acc_z': 9.76, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 17860, 'Left_wheel_dist': -4133, 'Right_wheel_dist': -2167, 'IMU_roll': -0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 3.31, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 17961, 'Left_wheel_dist': -4186, 'Right_wheel_dist': -2216, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.30, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.47, 'Loop_dt': 19, 'Acc_Accu': 8}
