Mon Aug 10 17:50:42 2020
Joystick Mode (120s)
{'Time': 17048, 'Left_wheel_dist': -1113, 'Right_wheel_dist': -1018, 'IMU_roll': -0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 6.28, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17153, 'Left_wheel_dist': -1146, 'Right_wheel_dist': -1044, 'IMU_roll': -0.09, 'IMU_pitch': -0.00, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17244, 'Left_wheel_dist': -1175, 'Right_wheel_dist': -1062, 'IMU_roll': -0.08, 'IMU_pitch': -0.03, 'IMU_yaw': 6.18, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17348, 'Left_wheel_dist': -1210, 'Right_wheel_dist': -1084, 'IMU_roll': -0.06, 'IMU_pitch': -0.03, 'IMU_yaw': 6.11, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17453, 'Left_wheel_dist': -1246, 'Right_wheel_dist': -1109, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17556, 'Left_wheel_dist': -1279, 'Right_wheel_dist': -1133, 'IMU_roll': -0.06, 'IMU_pitch': -0.06, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17646, 'Left_wheel_dist': -1308, 'Right_wheel_dist': -1153, 'IMU_roll': -0.08, 'IMU_pitch': -0.10, 'IMU_yaw': 5.84, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17751, 'Left_wheel_dist': -1343, 'Right_wheel_dist': -1184, 'IMU_roll': -0.06, 'IMU_pitch': -0.12, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17854, 'Left_wheel_dist': -1379, 'Right_wheel_dist': -1219, 'IMU_roll': -0.06, 'IMU_pitch': -0.14, 'IMU_yaw': 5.60, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17944, 'Left_wheel_dist': -1410, 'Right_wheel_dist': -1250, 'IMU_roll': -0.07, 'IMU_pitch': -0.14, 'IMU_yaw': 5.50, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 18049, 'Left_wheel_dist': -1450, 'Right_wheel_dist': -1286, 'IMU_roll': -0.05, 'IMU_pitch': -0.16, 'IMU_yaw': 5.37, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 18150, 'Left_wheel_dist': -1481, 'Right_wheel_dist': -1319, 'IMU_roll': -0.03, 'IMU_pitch': -0.16, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.74, 'Loop_dt': 24, 'Acc_Accu': 6}
